종목코드,종목명,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"003920","남양유업","468000","-3500","-0.74","472000","474000","455000","5353","2481502500","336960000000","720000"
"003925","남양유업우","242000","6000","2.54","244000","244000","237000","156","37491000","40332204000","166662"
"025860","남해화학","10600","250","2.42","10450","10700","10300","394770","4157276650","526595735800","49678843"
"005720","넥센","4950","15","0.30","4935","4960","4915","13650","67335540","265042686150","53543977"
"005725","넥센우","3725","5","0.13","3720","3730","3700","749","2776140","13412235000","3600600"
"002350","넥센타이어","8060","150","1.90","7950","8090","7870","115381","922044350","787203088620","97667877"
"002355","넥센타이어1우B","3590","-10","-0.28","3560","3700","3550","14114","50201040","23335000000","6500000"
"003580","넥스트사이언스","30100","-900","-2.90","31150","31150","29200","1165728","35443085450","1254141693700","41665837"
"251270","넷마블","122500","0","0.00","123000","123500","120500","160169","19588853000","10529303995000","85953502"
"090350","노루페인트","11150","0","0.00","11250","11250","11000","55981","621698350","223000000000","20000000"
"090355","노루페인트우","22400","-450","-1.97","22200","22400","22200","5372","119787950","10374022400","463126"
"000320","노루홀딩스","13250","50","0.38","13050","13300","13050","8224","108625800","176107750750","13291151"
"000325","노루홀딩스우","50000","-1400","-2.72","50400","50400","49000","8688","427717250","9262500000","185250"
"006280","녹십자","354000","-25500","-6.72","384000","387500","330000","343397","121608726000","4137034452000","11686538"
"005250","녹십자홀딩스","32150","-1000","-3.02","33250","33600","31100","176957","5725135550","1511956951500","47028210"
"005257","녹십자홀딩스2우","73700","-5300","-6.71","78200","81400","73600","5041","380660000","62349463000","845990"
"004370","농심","293000","3000","1.03","290000","293500","289000","11423","3322573500","1782214106000","6082642"
"072710","농심홀딩스","75700","300","0.40","75700","75700","74600","2808","211007400","351080703000","4637790"
"058730","다스코","6060","90","1.51","5950","6070","5850","76256","456044610","98778000000","16300000"
"023590","다우기술","26300","350","1.35","25950","26300","25850","45435","1186684500","1179992027100","44866617"
"145210","다이나믹디자인","582","5","0.87","577","587","566","740807","428328126","92124341172","158289246"
"019680","대교","4900","-75","-1.51","4995","5150","4865","659661","3282734555","415043965000","84702850"
"019685","대교우B","3825","-100","-2.55","3950","4080","3760","316628","1229274950","74308236750","19426990"
"006370","대구백화점","11650","-150","-1.27","12000","12000","11500","71427","837557700","126071768150","10821611"
