,회사명,시가총액,발행주식수,외국인비율,거래량,PER,ROE
231,KBSTAR,0,"10,896","26,300",0.01,"134,383",N/A
232,오리온홀딩스,"10,869","62,645",5.27,"587,842",16.32,3.98
233,대신증권,"10,815","50,773",15.56,"188,250",3.03,7.35
234,화승엔터프라이즈,"10,751","60,571",3.92,"379,823",26.03,9.26
235,삼양홀딩스,"10,748","8,564",8.43,"36,966",5.30,6.96
236,KODEX,0,"10,569","46,600",4.32,"2,235,567",N/A
237,세아베스틸,"10,400","35,862",19.06,"57,734",-6.56,-14.18
238,한화투자증권,"10,363","214,548",5.38,"757,069",7.19,5.58
239,이연제약,"10,313","17,999",0.58,"320,770",155.28,1.71
240,진에어,"10,305","45,000",3.04,"250,715",-4.43,-131.35
241,풍산,"10,243","28,024",14.02,"171,917",5.30,5.09
242,한섬,"10,024","24,630",28.06,"50,750",9.79,7.85
243,GKL,"10,021","61,856",3.67,"441,796",-9.03,-12.01
244,영진약품,"9,894","182,893",4.33,"281,151",-112.71,-0.12
245,한세실업,"9,800","40,000",9.46,"605,499",9.43,10.97
246,미원에스씨,"9,792","5,100",0.81,"4,271",20.02,13.58
247,현대그린푸드,"9,643","97,704",10.40,"290,551",13.48,4.07
248,SBS,"9,601","18,253",0.00,"61,707",25.77,-12.32
249,ESR켄달스퀘어리츠,"9,570","143,259",23.87,"236,879",171.28,1.14
250,쿠쿠홈시스,"9,536","22,437",4.85,"37,384",8.13,15.94
251,SK디스커버리,"9,490","19,038",7.71,"70,424",4.88,14.71
252,대한해운,"9,480","319,177",4.62,"1,948,716",9.40,1.10
253,현대건설기계,"9,299","19,701",20.30,"76,923",10.60,-0.80
254,덴티움,"9,298","11,069",24.13,"50,841",23.66,10.34
255,현대일렉트릭,"9,192","36,047",12.04,"229,384",101.19,-5.84
256,파미셀,"9,174","59,959",9.77,"431,744",168.13,9.65
257,TIGER,-0.39%,0,"9,136","24,920",0.12,"62,193"
258,SK리츠,"8,976","155,021",1.26,"10,316,801",N/A,N/A
259,동원산업,"8,955","3,678",7.69,"2,870",4.07,21.01
260,TIGER,0,"8,953","39,650",2.57,"2,631,093",N/A
261,경동나비엔,"8,938","13,605",12.23,"33,917",11.09,12.83
262,제이알글로벌리츠,"8,860","165,600",4.75,"837,060",N/A,N/A
263,현대홈쇼핑,"8,844","12,000",30.30,"18,075",7.47,6.39
264,제주항공,"8,816","38,500",0.86,"154,078",-3.64,-113.11
265,대상,"8,731","34,648",11.41,"92,860",8.36,12.02
266,유나이티드제약,"8,707","16,245",7.17,"165,108",33.07,10.01
267,롯데제과,"8,695","6,417",18.13,"3,685",16.36,3.42
268,유안타증권,"8,553","199,597",63.35,"169,660",3.72,7.92
269,대덕전자,"8,500","49,417",9.22,"751,775",68.80,N/A
270,미래에셋생명,"8,444","177,016",4.66,"166,865",22.93,3.45
271,DI동일,"8,386","2,511",2.54,"28,018",29.16,4.00
272,한진중공업,"8,369","83,274",22.48,"704,097",-17.21,27.71
273,쿠쿠홀딩스,"8,357","35,562",7.42,"18,104",6.48,14.88
274,SK디앤디,"8,288","22,190",5.17,"40,147",9.67,14.88
275,두산인프라코어,"8,270","79,522",12.41,"1,181,282",8.04,6.47
276,한국단자,"8,228","10,415",23.79,"18,526",10.41,7.84
277,KODEX,+1.93%,0,"8,220","49,400",8.98,"6,032,997"
278,우리종금,"8,034","874,203",2.03,"3,160,588",9.78,14.05
279,삼양사,"7,983","10,313",6.37,"279,725",13.80,5.06
280,제이콘텐트리,"7,965","17,641",6.91,"71,437",-5.34,-52.61
281,동원F&B,"7,892","3,859",5.89,"3,386",8.66,10.91
282,넥센타이어,"7,882","97,668",5.49,"131,067",75.42,-1.09
283,SNT모티브,"7,853","14,623",21.09,"56,806",12.30,7.28
284,엠씨넥스,"7,847","17,957",5.95,"69,889",27.57,16.10
285,서울가스,"7,775","5,000",7.45,"3,024",6.39,13.14
286,ARIRANG,0,"7,755","18,500",0.00,"34,579",N/A
287,아모레퍼시픽우,"7,728","10,558",58.90,"12,039",33.97,N/A
288,LX하우시스,"7,631","8,968",26.46,"40,730",-13.12,-8.80
289,LX홀딩스,"7,628","76,281",11.52,"310,485",N/A,N/A
290,동아쏘시오홀딩스,"7,617","6,348",12.17,"7,091",4.51,19.87
291,드림텍,"7,574","65,293",20.90,"245,825",14.34,8.79
292,효성중공업,"7,385","9,325",6.21,"123,804",19.05,-2.48
293,국도화학,"7,371","9,011",24.40,"188,178",6.52,5.54
294,롯데하이마트,"7,248","23,608",9.03,"67,587",49.28,1.49
295,SGC에너지,"7,074","14,677",1.09,"146,339",11.89,6.24
296,DL건설,"7,068","22,053",2.03,"18,953",4.98,23.71
297,SPC삼립,"7,067","8,629",2.97,"9,158",32.62,-3.98
298,KINDEX,0,"7,054","17,000",24.80,"648,555",N/A
299,해성디에스,"7,030","17,000",5.49,"685,186",20.30,13.62
